immo_id,lat,lng,rent,sqm
106510759,52.52372,13.19956,750.0,59.82
106362624,52.51782,13.45464,1080.0,70.99
105623043,52.4951,13.34041,550.0,24.68
106340878,52.45239,13.61917,1120.0,89.59
106509220,52.43943,13.50575,785.5,78.55
106508635,52.43934,13.50577,868.7,86.87
105497098,52.44073,13.3014,772.23,73.12
105330242,52.50521,13.34735,1600.0,85.0
105016744,52.50735,13.37382,1090.0,67.39
105584607,52.52188,13.38264,1960.0,116.0
97493620,52.50867,13.3795,1864.5,124.0
99461358,52.50751,13.37355,1600.0,93.27
106508005,52.5846,13.3667,930.0,93.13
104839292,52.51693,13.37959,3200.0,153.0
106499841,52.51459,13.38879,2340.0,187.0
103815314,52.51766,13.38934,5368.15,310.0
105480283,52.51006,13.38252,5045.0,252.0
106344715,52.47467,13.29388,1009.0,91.58
106489995,52.44452,13.27014,1170.0,69.0
106384763,52.42424,13.32808,1400.0,150.0
106363687,52.5492,13.35172,754.0,58.0
106317315,52.51831,13.31764,806.8,67.23
60957128,52.44712,13.32653,1014.59,111.8
105769430,52.54123,13.42322,2735.0,156.0
97009734,52.51275,13.45358,999.0,71.0
106638126,52.54018,13.42269,1500.0,107.0
106365792,52.53677,13.37764,1297.0,113.0
106241788,52.48276,13.43318,599.0,34.79
106236780,52.46556,13.4866,1092.0,105.53
105951085,52.50317,13.31993,3100.0,163.0
105030430,52.48161,13.42968,1699.0,111.52
104825121,52.46128,13.52567,832.0,68.6
106342569,52.51916,13.30009,1554.0,121.9
105902269,52.54877,13.44735,1179.0,98.27
106446649,52.54101,13.60115,539.0,69.93
106446647,52.54245,13.59649,639.0,67.75
106446644,52.51108,13.51811,679.0,71.2
89285221,52.43773,13.22466,2978.0,200.0
96457862,52.4624,13.48126,670.0,67.0
66580356,52.5213,13.35166,2333.0,137.26
98592922,52.56096,13.43344,440.0,21.0
98592840,52.56096,13.43344,505.0,21.0
106485279,52.51966,13.54563,989.91,99.09
106455542,52.51966,13.54563,764.14,76.49
105604655,52.60747,13.42067,659.33,69.04
105943525,52.50109,13.45144,1123.2,62.4
32575820,52.47701,13.28251,598.0,70.1
106465563,52.48537,13.34702,760.0,34.4
106464199,52.49433,13.43353,800.0,29.79
106005894,52.56722,13.35055,860.0,70.33
106005464,52.52343,13.48051,1300.0,98.39
105996284,52.54417,13.36897,955.0,57.5
105592754,52.47438,13.42121,800.0,30.49
105592620,52.47438,13.42121,900.0,36.26
89021905,52.45765,13.53458,464.69,24.25
105546663,52.49146,13.34457,1099.0,65.0
106296679,52.4663,13.30671,860.4,71.7
106177741,52.51176,13.40868,1700.0,95.0
106153595,52.52979,13.17969,643.0,61.0
106004603,52.46352,13.43325,711.0,50.77
105870391,52.46207,13.44481,735.0,63.86
95530873,52.49168,13.34075,1464.84,112.68
106498062,52.47966,13.34609,1085.0,98.5
105968471,52.55066,13.41842,649.0,35.0
105792227,52.59889,13.37781,1192.0,88.27
61445395,52.48198,13.32035,582.53,44.81
106390176,52.4131,13.15344,3443.0,313.0
98672147,52.51004,13.29835,747.4,74.74
100107834,52.53161,13.39878,1000.0,45.0
103616292,52.5583,13.46601,1098.0,87.0
98142202,52.42058,13.57938,953.0,112.08
106344280,52.51072,13.42431,1570.0,108.0
66633796,52.41643,13.26597,1141.8,74.53
106469430,52.42058,13.57938,1589.0,158.83
91510448,52.49021,13.38427,2507.0,157.21
