listing_id,id,date,reviewer_id,reviewer_name,comments,language
145249,1073129015581224945,2024-01-20,72680393,Angelika,"Für zwei Personen ist die Unterkunft  sehr gut,  allerdings für die 3. Person<br/>ist die Schlafcouch nicht zumutbar",de
145249,1104290351466053745,2024-03-03,237840116,Rachel,Die Lage war für uns perfekt. Auch sind Kirk und seine Familie sehr nette Gastgeber.<br/>Toll ist auch der separate Aufgang über den Seitenflügel. So muss man nicht gezwungenermaßen durch die Hauptwohnung.<br/>Allerdings hätten wir uns mehr Sauberkeit im Schlaf- und Badezimmer und Optionen zum Ablegen unserer Sachen gewünscht.,de
363454,1098427780223720726,2024-02-24,483173375,Seline,"Unser Aufenthalt in Berlin war super. <br/>Die Unterkunft von Alexander enspricht der Beschreibung. Das Check-in/out war flexibel und hat bestens geklappt. Die Wohnung ist gut ausgestattet, sauber, gut gelegen und perfekt auch für einen längeren Aufenthalt in Berlin. Wir hatten eine gute Zeit in der Wohnung und in der Stadt.",de
363454,1110797295948898229,2024-03-12,258040051,Jeremy,sehr schön,de
395063,1110056083803919345,2024-03-11,19959089,Kathrin,"Ich habe mich bei Katharina sehr wohl gefühlt. Freundlich, unkompliziert... gerne wieder!",de
399312,1098509466168653656,2024-02-24,50634373,Niklaus,Wir verbrachten zu zweit eine Woche in der Wohnung. Für uns war die Lage optimal und die Wohnung ist ruhig und hell. Danke,de
250007,1078844682823411010,2024-01-28,158212072,Carsten,"Eine sehr gute Unterkunft! Wir haben die 5 Tage sehr genossen. Wir können uns den positiven Bewertungen unsere Vorgäste nur anschliessen. Gerne würden wir wieder einmal """"stille Tage in Berlin"""" in diesem Apartment verbringen. Vielen Dank. Jörg!",de
250007,1089013904680584729,2024-02-11,31604088,Erich,"Unsere Basis für 1 Woche Berlin. Dafür war die Wohnung perfekt. Sie ist erstaunlich schön eingerichtet. Innerhalb von 10 Minuten ist die U-Bahn-Station erreichbar. Dort liegt auch ein Supermarkt mit langen Öffnungszeiten. Die Fenster sind im Innenhof in Richtung Norden ausgerichtet, somit weniger Tageslicht - was uns aber nicht gestört hat. Wir haben die schöne Wohnung genossen.",de
250007,1099848164359307122,2024-02-26,29407257,Julian,"Jörg ist sehr nett und entgegenkommend und die Lage ist auch toll. Fahrrad konnte ich unkompliziert und sicher abstellen. Es war sauber und die meiste Zeit ruhig. <br/>Für mich gab es aber einige Dinge, durch die ich mich nicht so recht wohlgefühlt habe: <br/>- Die Wohnung wirkt „verwohnt“ und müsste an einigen Stellen renoviert werden. Vor allem die einfache Küche hat die besten Jahre hinter sich. <br/>- Die Matratze war mir viel zu weich - und das sage ich als jemand der gern weich schläft. <br/>- Die Wohnung ist recht dunkel und im Hinterhof gelegen. Im kalten, grauen, nassen Berliner Winter kann das schon einschlagen.",de
250007,1104279208629220809,2024-03-03,95628050,Susann,"Tolle Wohnung, sehr sauber, sehr ruhig, unkomplizierter Ablauf. Gerne wieder!",de
